StaID  EPI(km) AZI(degree) PGV(cm/s) T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE      ML  MD             txtfile
LIOB   226.606    5.721    0.585E-03   90.12  116.60   26.48   0.09  -0.82   1.487  1.632  0.406E-04 -0.210E-04   4.12   2.77  M31para_result.txt
NANB   223.698   25.701    0.576E-04   79.72  125.62   45.90   0.61   0.38   1.085  0.819  0.159E-04  0.545E-04   3.51   3.24  M31para_result.txt
DPDB   158.134    4.921    0.292E-03   61.84  105.78   43.94   0.49  -0.43   1.176 -0.101  0.668E-04 -0.127E-03   3.49   2.97  M31para_result.txt
FULB    82.968   38.156    0.345E-03   41.94   94.09   52.15   0.47  -0.22   1.086  3.016  0.844E-04  0.259E-02   3.10   2.85  M31para_result.txt
TIPB   281.794   21.719    0.127E-03   52.37  142.95   90.57   0.73  -0.03   0.955 -0.144  0.125E-04  0.295E-03   3.85   4.03  M31para_result.txt
TWGB    37.358   51.993    0.208E-02   27.72   68.01   40.29   0.45   0.01   1.334  3.238  0.568E-03  0.931E-02   3.30   2.47  M31para_result.txt
TPUB    78.235  347.671    0.210E-03   34.27   78.40   44.13   0.73   1.44   1.061  1.016  0.117E-03 -0.104E-02   2.86   2.69  M31para_result.txt
TWKB    74.105  178.443    0.730E-03   57.97   83.52   25.55   0.56   0.47   1.647  2.929  0.486E-03 -0.372E-02   3.63   2.20  M31para_result.txt
SSLB   131.362    7.172    0.187E-03   91.83  154.70   62.87   1.47   3.92   0.959  0.626  0.448E-04  0.603E-03   3.06   3.19  M31para_result.txt
CHGB   165.167   13.562    0.545E-03   36.64  126.84   90.20   0.72   0.55   1.038  1.310  0.873E-04  0.557E-02   3.76   3.62  M31para_result.txt
HGSD   117.075   33.377    0.173E-02   63.28   81.41   18.13   0.49   0.24   1.866  2.978  0.966E-03 -0.297E-02   3.84   2.06  M31para_result.txt
YULB   100.826   30.717    0.667E-04   45.93   93.52   47.59   0.32  -0.47   0.955  2.221  0.243E-04  0.159E-03   2.71   2.84  M31para_result.txt
MASB    16.462  270.762    0.872E-03   20.13   61.98   41.85   0.52   0.34   1.067  3.061  0.178E-03  0.721E-02   2.59   2.43  M31para_result.txt
YHNB   235.599   14.493    0.118E-03   70.85  125.69   54.84   0.80   0.75   1.035  2.161  0.373E-04 -0.346E-03   3.55   3.43  M31para_result.txt
ALSB   105.055  357.511    0.218E-02  170.66  241.59   70.93   0.90   1.64   1.161  2.492  0.281E-03  0.297E-01   3.71   3.20  M32para_result.txt
SCZB    31.614  228.434    0.235E-03  132.25  159.93   27.67   0.59  -0.66   1.168  1.494  0.904E-04  0.319E-03   2.48   2.12  M32para_result.txt
TWMB    52.564  303.488    0.437E-03  144.02  181.47   37.46   1.09   1.10   1.236  1.719  0.985E-04  0.192E-02   3.04   2.46  M32para_result.txt
ECLB    11.387   69.500    0.572E-03  127.23  151.74   24.50   1.38   1.70   0.960  0.133  0.806E-04  0.244E-02   1.87   1.95  M32para_result.txt
FULB    83.641   32.230    0.938E-04  151.45  178.80   27.35   0.27  -0.38   1.259  1.732  0.457E-04 -0.296E-03   2.89   2.30  M32para_result.txt
TWGB    36.497   38.593    0.329E-03  142.41  165.70   23.29   0.26  -0.77   1.369  2.552  0.160E-03  0.130E-03   2.73   1.99  M32para_result.txt
MASB    23.846  283.981    0.250E-03  116.90  152.43   35.53   0.89  -0.21   0.984  2.717  0.512E-04  0.152E-02   2.28   2.31  M32para_result.txt
SCZB    51.765  195.075    0.618E-03   87.79  116.82   29.03   0.73   0.23   1.332  3.201  0.164E-03  0.188E-02   2.98   2.24  M33para_result.txt
TWMB    33.681  269.969    0.305E-03  117.11  153.11   36.00   0.72   0.58   1.139  1.203  0.123E-03 -0.653E-03   2.69   2.36  M33para_result.txt
ECLB    32.545  140.183    0.324E-03   93.58  121.38   27.79   0.79   0.02   1.089  0.672  0.937E-04  0.123E-02   2.32   2.13  M33para_result.txt
SLBB   231.760   22.496    0.711E-03  158.48  164.38    5.90   0.76  -0.08   2.756 -1.323  0.115E-03  0.782E-03   4.09   1.48  M33para_result.txt
FULB    68.866   52.638    0.866E-04  110.69  153.24   42.56   0.33  -0.08   1.029  1.459  0.157E-04  0.464E-03   2.71   2.63  M33para_result.txt
TWGB    32.926   90.786    0.292E-03   96.07  145.46   49.39   0.55   0.11   0.914  2.448  0.990E-04  0.153E-02   2.41   2.63  M33para_result.txt
YULB    83.787   41.004    0.315E-04  122.42  166.43   44.01   0.48  -0.17   0.890  1.220  0.115E-04 -0.112E-03   2.41   2.71  M33para_result.txt
MASB    26.619  209.154    0.172E-03   89.73  120.04   30.30   0.70   0.11   0.866  2.334  0.329E-04  0.105E-02   1.89   2.19  M33para_result.txt
ALSB    23.696   29.497    0.775E-03  106.73  112.06    5.32   0.32  -1.03   3.666  0.312  0.471E-03 -0.447E-03   2.44   0.67  M34para_result.txt
SGSB    28.955  202.520    0.370E-03  103.40  122.11   18.70   0.68   0.06   1.298  1.189  0.137E-03  0.230E-03   2.30   1.78  M34para_result.txt
WGKB    42.219  341.896    0.430E-03  111.84  123.61   11.78   0.49  -0.55   1.924  0.163  0.175E-03 -0.265E-03   2.73   1.42  M34para_result.txt
ELDB    36.553  114.063    0.135E-03  103.90  128.95   25.05   0.87   0.52   1.029  1.472  0.613E-04 -0.313E-03   2.11   2.06  M34para_result.txt
SLBB   184.935   30.815    0.819E-03   64.39   72.44    8.05   0.14  -0.67   2.558 -1.803  0.124E-03  0.715E-03   4.06   1.59  M34para_result.txt
DPDB    82.085   16.359    0.484E-04  126.29  137.49   11.20   0.20  -0.97   1.835 -0.824  0.245E-04 -0.278E-04   2.78   1.52  M34para_result.txt
FULB    62.358  102.524    0.242E-03  111.79  131.92   20.13   0.41  -0.69   1.381  1.282  0.451E-04 -0.762E-04   2.70   1.96  M34para_result.txt
TWGB    68.103  144.982    0.227E-03  111.84  123.61   11.78  -0.13  -0.51   1.859  2.500  0.112E-03 -0.764E-05   2.81   1.51  M34para_result.txt
TPUB     7.483  251.470    0.369E-03  100.73  117.16   16.42   1.16   1.47   1.012  0.749  0.213E-03 -0.149E-02   1.61   1.59  M34para_result.txt
SSLB    57.722   26.744    0.553E-04  111.94  121.10    9.15   0.45   0.44   1.502  0.302  0.172E-04  0.358E-04   1.88   1.26  M34para_result.txt
ANPB   222.591   21.823    0.201E-03  170.07  191.44   21.37   0.49   0.08   1.546 -1.605  0.883E-04 -0.393E-04   3.97   2.57  M34para_result.txt
HGSD    76.406   75.592    0.548E-03  119.30  140.08   20.78   0.38   0.16   1.628  1.575  0.204E-03 -0.509E-03   3.31   2.03  M34para_result.txt
MASB    78.883  184.947    0.986E-04   44.22   56.90   12.68   0.76   0.68   1.645  1.722  0.144E-04 -0.346E-04   2.65   1.61  M34para_result.txt
ALSB    16.072  295.000    0.120E-02  206.11  223.33   17.21   0.89   0.02   1.636  2.437  0.344E-03  0.412E-02   2.71   1.66  M35para_result.txt
CHKH    57.542  132.130    0.917E-04  207.15  246.15   38.99   0.73   0.20   1.060  0.980  0.315E-04  0.180E-03   2.66   2.51  M35para_result.txt
ESLB    63.889   50.705    0.591E-04  223.74  247.86   24.12   0.32  -0.89   1.079  0.338  0.255E-04  0.115E-03   2.29   2.12  M35para_result.txt
WGKB    47.326  303.819    0.599E-03  220.27  248.64   28.37   0.77  -0.13   1.438  0.754  0.239E-03  0.498E-03   3.17   2.20  M35para_result.txt
TAIH    86.379  238.536    0.176E-03  237.08  262.61   25.53   0.58   0.05   1.450  1.323  0.484E-04  0.558E-03   3.26   2.25  M35para_result.txt
TWMB    87.657  217.939    0.326E-03  237.02  255.69   18.67   0.49  -0.60   1.708  2.293  0.192E-03 -0.698E-03   3.38   1.98  M35para_result.txt
ELDB    29.634  166.177    0.756E-03  206.55  222.44   15.89   1.61   2.32   1.708  2.379  0.123E-03  0.146E-02   2.79   1.64  M35para_result.txt
SLBB   160.333   25.391    0.762E-04  257.81  272.74   14.94   0.93   0.40   1.567  1.151  0.178E-04  0.187E-03   3.20   2.04  M35para_result.txt
NANB   135.360   36.482    0.713E-04  231.75  280.84   49.09   0.55  -0.44   0.921  0.843  0.113E-04 -0.167E-04   2.75   2.99  M35para_result.txt
DPDB    64.979  357.345    0.645E-04  221.64  254.68   33.04   0.64  -0.06   1.090 -0.187  0.158E-04  0.332E-03   2.61   2.40  M35para_result.txt
FULB    44.146  128.434    0.350E-03  215.07  235.15   20.08   0.69  -0.26   1.517  2.236  0.121E-03  0.773E-03   2.87   1.89  M35para_result.txt
TIPB   190.497   27.448    0.530E-04  264.05  276.75   12.70   0.94   0.22   1.618  2.039  0.174E-04  0.863E-04   3.24   2.00  M35para_result.txt
NACB   103.456   38.829    0.299E-04  223.41  275.94   52.53   0.56   0.30   0.830  0.709  0.155E-04 -0.195E-03   2.44   2.93  M35para_result.txt
TWGB    70.806  169.657    0.342E-03  219.05  236.47   17.42   0.31  -0.85   1.695  2.306  0.212E-03 -0.715E-03   3.15   1.86  M35para_result.txt
TPUB    37.084  244.136    0.335E-03  211.77  235.17   23.40   0.88   1.08   1.280  1.296  0.883E-04  0.654E-03   2.56   2.00  M35para_result.txt
SSLB    37.690  359.690    0.643E-04  204.58  241.99   37.41   0.64  -0.01   0.853  0.593  0.364E-04 -0.327E-03   2.05   2.41  M35para_result.txt
CHGB    71.417   18.076    0.156E-03  218.33  248.29   29.96   0.25  -0.68   1.196  2.608  0.696E-04  0.426E-03   2.79   2.33  M35para_result.txt
HGSD    48.034   83.942    0.118E-02  205.54  248.15   42.61   1.09   1.11   1.274  3.277  0.499E-03 -0.349E-02   3.26   2.56  M35para_result.txt
YULB    35.360   99.773    0.142E-03  208.25  238.96   30.71   1.16   1.02   0.948  2.555  0.558E-04 -0.377E-03   2.11   2.23  M35para_result.txt
MASB    98.177  199.771    0.854E-04  221.83  269.81   47.98   0.93   0.69   0.913  1.545  0.146E-04 -0.137E-03   2.59   2.84  M35para_result.txt
YHNB   141.912   17.410    0.698E-04  233.96  277.03   43.07   0.09  -0.72   1.006  2.214  0.158E-04  0.329E-03   2.91   2.89  M35para_result.txt
ALSB    21.911  331.720    0.120E-02   86.43  102.83   16.40   0.85  -0.03   1.766  2.399  0.356E-03  0.392E-02   2.89   1.64  M36para_result.txt
CHKH    53.640  119.092    0.917E-04   87.06  129.34   42.28   0.80   0.30   1.013  0.836  0.278E-04  0.302E-03   2.60   2.57  M36para_result.txt
ESLB    75.381   45.341    0.591E-04  101.83  127.14   25.31   0.29  -0.81   1.109  0.345  0.987E-05  0.529E-03   2.44   2.20  M36para_result.txt
WGKB    52.374  317.862    0.599E-03  100.49  124.01   23.52   0.66  -0.20   1.579  0.817  0.245E-03  0.770E-03   3.25   2.06  M36para_result.txt
TWMB    75.345  221.258    0.326E-03  113.91  134.26   20.36   0.46  -0.50   1.628  2.250  0.106E-03  0.104E-02   3.27   2.01  M36para_result.txt
ELDB    19.792  145.270    0.756E-03   86.71  103.53   16.81   1.64   2.47   1.544  2.110  0.265E-03 -0.104E-02   2.55   1.65  M36para_result.txt
SLBB   173.436   24.854    0.935E-04  138.19  151.45   13.25   0.82   0.20   1.683  1.067  0.276E-04  0.565E-04   3.34   1.98  M36para_result.txt
NANB   147.964   34.891    0.484E-04  105.70  158.64   52.94   0.48  -0.51   0.913  0.563  0.846E-05  0.151E-03   2.83   3.10  M36para_result.txt
DPDB    77.425    0.858    0.645E-04   99.96  133.94   33.98   0.68   0.01   1.127 -0.212  0.142E-04  0.394E-03   2.78   2.46  M36para_result.txt
FULB    41.548  111.052    0.350E-03   95.12  123.36   28.24   0.89   0.18   1.297  2.245  0.661E-04  0.189E-02   2.82   2.18  M36para_result.txt
TIPB   203.538   26.856    0.530E-04  144.16  159.19   15.03   0.85   0.29   1.511  2.273  0.172E-04  0.717E-04   3.32   2.20  M36para_result.txt
NACB   115.917   36.550    0.425E-04  100.31  131.91   31.60   0.32  -0.11   0.993  0.827  0.128E-04  0.158E-04   2.52   2.53  M36para_result.txt
TWGB    59.596  163.508    0.342E-03   98.52  120.44   21.92   0.51  -0.80   1.484  2.492  0.149E-03  0.208E-03   3.00   2.02  M36para_result.txt
TPUB    29.408  262.813    0.335E-03   91.81  116.42   24.61   0.83   0.92   1.192  1.286  0.907E-04  0.525E-03   2.40   2.02  M36para_result.txt
SSLB    50.354    4.525    0.643E-04   83.06  120.92   37.86   0.54  -0.15   0.922  0.584  0.220E-04  0.234E-03   2.27   2.46  M36para_result.txt
CHGB    84.607   18.130    0.156E-03   90.84  126.28   35.44   0.45  -0.64   1.160  2.977  0.307E-04  0.171E-02   2.93   2.53  M36para_result.txt
HGSD    54.849   71.295    0.118E-02   85.49  125.63   40.14   1.08   1.09   1.331  3.304  0.442E-03 -0.438E-03   3.37   2.53  M36para_result.txt
YULB    39.576   80.524    0.142E-03   88.00  120.11   32.11   1.17   1.06   0.961  2.616  0.399E-04  0.103E-03   2.19   2.28  M36para_result.txt
MASB    84.990  199.949    0.120E-03   95.51  140.78   45.27   0.93   0.66   0.990  1.573  0.121E-04  0.386E-04   2.71   2.74  M36para_result.txt
YHNB   155.100   17.489    0.557E-04  112.66  154.80   42.15   0.10  -0.56   1.019  2.540  0.135E-04  0.446E-03   2.98   2.92  M36para_result.txt
TWGB    75.224  154.823    0.205E-03  191.57  217.15   25.58   1.17   1.64   1.295  2.649  0.567E-04  0.508E-03   2.86   2.21  M37para_result.txt
HGSD    67.292   84.292    0.469E-03  200.00  300.00  100.00  -0.15  -0.42   0.894  1.869  0.332E-04  0.549E-02   3.01   3.37  M37para_result.txt
ALSB    38.517  338.761    0.203E-03  121.50  149.54   28.04   0.31  -0.75   1.036  2.499  0.489E-04  0.134E-02   2.24   2.16  M38para_result.txt
WGKB    67.622  325.082    0.344E-03  119.79  149.61   29.82   0.40  -0.29   1.541  0.001  0.274E-04  0.101E-02   3.57   2.32  M38para_result.txt
ELDB     7.702   87.514    0.160E-03  117.37  142.41   25.04   0.45  -0.17   0.578  1.766  0.502E-04  0.296E-03   1.13   1.95  M38para_result.txt
FULB    35.234   87.286    0.116E-03  125.39  150.36   24.97   0.48  -0.09   0.993  3.484  0.326E-04  0.495E-03   2.03   2.05  M38para_result.txt
TWGB    42.680  161.804    0.177E-03  119.79  149.61   29.82   0.40  -0.31   1.094  2.670  0.366E-04  0.126E-02   2.44   2.23  M38para_result.txt
TPUB    35.215  291.542    0.102E-03  116.33  143.78   27.45   0.88   1.03   0.885  0.994  0.308E-04  0.333E-03   1.89   2.13  M38para_result.txt
HGSD    59.235   54.759    0.522E-03  129.22  155.27   26.05   0.40  -0.25   1.364  2.643  0.210E-03  0.322E-03   2.96   2.17  M38para_result.txt
YULB    42.326   56.909    0.171E-04  126.30  159.12   32.82   0.28  -0.61   0.694  1.555  0.668E-05  0.423E-04   1.60   2.31  M38para_result.txt
RLNB    98.784  322.517    0.369E-03  232.83  258.51   25.68   0.16  -0.43   1.494  1.760  0.361E-04  0.764E-04   3.43   2.29  M38para_result.txt
ALSB    40.436  359.176    0.948E-03   91.57  119.46   27.90   1.32   0.95   1.317  3.185  0.301E-03 -0.127E-02   2.85   2.16  M40para_result.txt
SGSB    24.381  253.508    0.644E-03  111.22  127.38   16.15   0.99  -0.08   1.446  1.717  0.207E-03 -0.423E-04   2.36   1.63  M40para_result.txt
ESLB    97.566   40.525    0.556E-04  105.71  136.69   30.99   1.01   0.79   0.984  0.371  0.110E-04  0.255E-03   2.42   2.45  M40para_result.txt
WGKB    65.097  337.079    0.492E-03  101.35  129.40   28.04   0.88   0.57   1.372  1.998  0.159E-03  0.602E-03   3.09   2.25  M40para_result.txt
TAIH    60.745  259.084    0.590E-03  112.78  135.40   22.62   0.69  -0.11   1.498  1.427  0.697E-04 -0.435E-04   3.07   2.05  M40para_result.txt
TWMB    53.379  228.271    0.337E-03  106.94  130.23   23.28   0.36  -0.79   1.370  2.976  0.103E-03  0.138E-02   2.81   2.05  M40para_result.txt
ELDB    21.656   76.964    0.310E-03   88.20   98.92   10.72   0.92   0.66   1.603  2.409  0.115E-03  0.253E-05   2.03   1.27  M40para_result.txt
SLBB   196.745   24.826    0.524E-04  139.16  161.68   22.51   0.59  -0.36   1.292  1.756  0.111E-04  0.179E-03   3.26   2.52  M40para_result.txt
NANB   170.969   33.502    0.266E-04  137.47  157.56   20.09   1.78   4.85   1.205  0.832  0.142E-04 -0.117E-03   2.81   2.33  M40para_result.txt
DPDB    99.163    6.322    0.521E-04  108.85  136.94   28.09   0.76  -0.28   1.130  0.667  0.116E-04  0.325E-03   2.68   2.37  M40para_result.txt
FULB    48.997   82.679    0.358E-03   97.86  109.27   11.40   2.42   7.42   1.686  2.736  0.884E-04 -0.481E-04   2.39   1.42  M40para_result.txt
TIPB   226.835   26.621    0.286E-04  148.04  172.14   24.10   0.78   0.95   1.245  1.679  0.147E-04 -0.111E-03   3.35   2.69  M40para_result.txt
NACB   138.828   34.575    0.215E-04  120.77  135.97   15.20   0.22  -0.20   1.280  0.817  0.969E-05  0.146E-04   2.53   1.98  M40para_result.txt
TWGB    44.853  143.360    0.480E-03   92.71  112.19   19.47   0.75  -0.21   1.442  3.574  0.112E-03  0.166E-02   2.69   1.87  M40para_result.txt
TPUB    26.062  312.017    0.661E-03   85.16  108.47   23.32   2.05   6.25   1.199  2.533  0.609E-04  0.189E-02   2.35   1.96  M40para_result.txt
SSLB    72.656   10.910    0.481E-04   99.64  119.17   19.52   0.39  -0.62   1.069  0.465  0.973E-05  0.242E-03   2.10   1.97  M40para_result.txt
CHGB   107.787   19.560    0.116E-03  111.11  142.93   31.83   0.95   0.40   1.131  2.861  0.328E-04  0.490E-03   2.84   2.51  M40para_result.txt
HGSD    72.912   57.880    0.958E-03   96.21  124.17   27.96   0.87   0.15   1.440  3.062  0.105E-03  0.626E-02   3.28   2.28  M40para_result.txt
YULB    56.144   60.456    0.432E-04   90.21  134.76   44.55   1.40   2.08   0.725  1.825  0.406E-05  0.370E-03   1.90   2.62  M40para_result.txt
MASB    61.803  198.033    0.343E-04  102.77  123.85   21.08   0.43  -0.08   1.098  1.659  0.837E-05  0.302E-04   2.19   1.99  M40para_result.txt
YHNB   178.238   18.422    0.774E-04  112.08  159.99   47.90   1.10   1.45   0.979  2.072  0.550E-05  0.298E-03   3.05   3.11  M40para_result.txt
NNSB   153.444   21.866    0.231E-03  127.79  134.43    6.64  -0.12  -1.04   2.532 -0.128  0.750E-04  0.821E-04   3.32   1.31  M40para_result.txt
NNSB   153.444   21.866    0.701E-04  127.79  134.43    6.64  -0.12  -1.04   2.137 -0.128  0.228E-04  0.249E-04   2.80   1.31  M40para_result.txt
